TF	JASPAR ID	Class	Family	Tax Group	IC	GC Content	Target region hits	Target region non-hits	Background region hits	Background region non-hits	Target TFBS hits	Target TFBS nucleotide rate	Background TFBS hits	Background TFBS nucleotide rate	Z-score	Fisher score
ELK3	MA0759.1	Tryptophan cluster factors	Ets-related factors	vertebrates	11.791	0.539	639	371	479	531	1029	0.009	712	0.006	37.646	28.332
Gabpa	MA0062.2	Tryptophan cluster factors	Ets-related factors	vertebrates	13.335	0.647	746	264	596	414	1404	0.014	1069	0.011	34.114	27.682
RELA	MA0107.1	Rel homology region (RHR) factors	NF-kappaB-related factors	vertebrates	14.757	0.567	486	524	331	679	693	0.006	405	0.004	45.298	27.367
FLI1	MA0475.2	Tryptophan cluster factors	Ets-related factors	vertebrates	13.279	0.533	816	194	682	328	1701	0.015	1270	0.011	38.414	25.894
ERG	MA0474.2	Tryptophan cluster factors	Ets-related factors	vertebrates	11.781	0.514	859	151	736	274	1999	0.018	1463	0.013	44.553	25.266
ETV6	MA0645.1	Tryptophan cluster factors	Ets-related factors	vertebrates	12.354	0.564	900	110	789	221	2291	0.021	1741	0.016	41.955	25.044
ELK4	MA0076.2	Tryptophan cluster factors	Ets-related factors	vertebrates	13.085	0.630	871	139	755	255	2153	0.021	1639	0.016	42.395	23.906
ETV5	MA0765.1	Tryptophan cluster factors	Ets-related factors	vertebrates	9.461	0.569	921	89	823	187	2712	0.025	2174	0.020	36.788	22.894
ERF	MA0760.1	Tryptophan cluster factors	Ets-related factors	vertebrates	12.896	0.540	522	488	381	629	740	0.007	498	0.005	34.331	22.471
ETS1	MA0098.3	Tryptophan cluster factors	Ets-related factors	vertebrates	12.150	0.528	803	207	680	330	1707	0.015	1263	0.011	39.682	21.763
ETV2	MA0762.1	Tryptophan cluster factors	Ets-related factors	vertebrates	14.664	0.452	372	638	245	765	492	0.005	298	0.003	37.291	21.372
FEV	MA0156.2	Tryptophan cluster factors	Ets-related factors	vertebrates	11.713	0.519	819	191	700	310	1778	0.016	1318	0.012	40.255	21.365
ETV1	MA0761.1	Tryptophan cluster factors	Ets-related factors	vertebrates	10.759	0.530	778	232	654	356	1572	0.014	1194	0.011	34.730	20.990
SPI1	MA0080.4	Tryptophan cluster factors	Ets-related factors	vertebrates	21.562	0.391	141	869	65	945	150	0.002	68	0.001	37.189	18.178
ETV4	MA0764.1	Tryptophan cluster factors	Ets-related factors	vertebrates	10.625	0.519	787	223	688	322	1669	0.015	1263	0.011	36.282	14.665
ELK1	MA0028.2	Tryptophan cluster factors	Ets-related factors	vertebrates	14.316	0.561	521	489	412	598	783	0.007	600	0.005	23.650	14.170
TFAP2B	MA0811.1	Basic helix-span-helix factors (bHSH)	AP-2	vertebrates	10.870	0.738	909	101	841	169	4178	0.045	3925	0.043	14.211	12.125
ETV3	MA0763.1	Tryptophan cluster factors	Ets-related factors	vertebrates	11.632	0.531	493	517	398	612	703	0.006	533	0.005	23.304	11.292
TFAP2C	MA0524.2	Basic helix-span-helix factors (bHSH)	AP-2	vertebrates	10.460	0.738	896	114	829	181	3833	0.042	3629	0.039	11.886	11.104
BARHL2	MA0635.1	Homeo domain factors	NK-related factors	vertebrates	8.495	0.352	934	76	878	132	4797	0.043	4721	0.043	3.491	10.559
Atf1	MA0604.1	Basic leucine zipper factors (bZIP)	CREB-related factors	vertebrates	10.519	0.476	591	419	500	510	1058	0.008	788	0.006	27.242	10.447
PRDM1	MA0508.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	15.223	0.380	352	658	268	742	449	0.006	330	0.004	25.390	10.395
TFAP2A(var.2)	MA0810.1	Basic helix-span-helix factors (bHSH)	AP-2	vertebrates	10.759	0.764	955	55	906	104	7073	0.077	6742	0.073	14.393	10.330
Crem	MA0609.1	Basic leucine zipper factors (bZIP)	CREB-related factors	vertebrates	12.449	0.416	244	766	174	836	297	0.003	201	0.002	21.401	9.519
Creb5	MA0840.1	Basic leucine zipper factors (bZIP)	CREB-related factors	vertebrates	16.321	0.443	162	848	104	906	183	0.002	116	0.001	21.532	9.383
STAT1::STAT2	MA0517.1	STAT domain factors::STAT domain factors	STAT factors::STAT factors	vertebrates	16.390	0.373	271	739	201	809	339	0.005	227	0.003	28.800	8.872
EHF	MA0598.2	Tryptophan cluster factors	Ets-related factors	vertebrates	14.797	0.591	207	803	145	865	238	0.003	165	0.002	19.673	8.688
REL	MA0101.1	Rel homology region (RHR) factors	NF-kappaB-related factors	vertebrates	10.515	0.559	746	264	672	338	1408	0.013	1147	0.010	24.449	8.571
