TF	JASPAR ID	Class	Family	Tax Group	IC	GC Content	Target region hits	Target region non-hits	Background region hits	Background region non-hits	Target TFBS hits	Target TFBS nucleotide rate	Background TFBS hits	Background TFBS nucleotide rate	Z-score	Fisher score
Hnf4a	MA0114.3	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	vertebrates	21.667	0.508	71	900	17	954	71	0.001	17	0.000	52.319	20.556
INSM1	MA0155.1	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers	vertebrates	14.862	0.667	563	408	434	537	946	0.011	703	0.008	31.757	19.641
Pparg::Rxra	MA0065.2	Nuclear receptors with C4 zinc fingers::Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)::RXR-related receptors (NR2)	vertebrates	11.663	0.547	385	586	271	700	531	0.008	328	0.005	43.409	17.393
KLF16	MA0741.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	13.161	0.767	788	183	688	283	2993	0.031	2445	0.026	37.039	16.531
ZNF740	MA0753.1	C2H2 zinc finger factors	Other factors with up to three adjacent zinc fingers	vertebrates	12.467	0.786	691	280	582	389	1700	0.016	1455	0.014	20.310	15.936
ZNF263	MA0528.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	16.073	0.597	697	274	592	379	1631	0.033	1220	0.024	54.391	15.081
HNF4G	MA0484.1	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	vertebrates	13.379	0.492	719	252	622	349	1392	0.020	979	0.014	51.323	13.649
NR2C2	MA0504.1	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	vertebrates	16.248	0.589	430	541	328	643	610	0.009	426	0.006	34.523	13.569
HNF1B	MA0153.2	Homeo domain factors	POU domain factors	vertebrates	16.242	0.207	177	794	106	865	211	0.003	126	0.002	27.254	12.692
TFAP2B	MA0811.1	Basic helix-span-helix factors (bHSH)	AP-2	vertebrates	10.870	0.738	831	140	753	218	3600	0.041	2970	0.034	40.517	12.686
TFAP2C	MA0524.2	Basic helix-span-helix factors (bHSH)	AP-2	vertebrates	10.460	0.738	818	153	741	230	3341	0.038	2734	0.031	40.640	11.877
RXRB	MA0855.1	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	vertebrates	23.110	0.505	56	915	21	950	62	0.001	21	0.000	33.416	10.428
MSC	MA0665.1	Basic helix-loop-helix factors (bHLH)	Tal-related factors	vertebrates	14.856	0.452	270	701	194	777	322	0.003	219	0.002	21.961	10.350
Ascl2	MA0816.1	Basic helix-loop-helix factors (bHLH)	MyoD / ASC-related factors	vertebrates	12.850	0.580	654	317	569	402	1170	0.011	976	0.009	19.609	10.153
ZIC4	MA0751.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	13.598	0.697	402	569	318	653	609	0.009	481	0.007	22.574	9.953
Nr2f6	MA0677.1	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	vertebrates	18.175	0.483	76	895	36	935	84	0.001	38	0.001	27.867	9.661
Rxra	MA0512.2	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	vertebrates	22.648	0.503	83	888	42	929	92	0.001	44	0.001	27.023	9.243
SP3	MA0746.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	10.325	0.709	859	112	801	170	4040	0.042	3358	0.035	39.510	9.062
Myod1	MA0499.1	Basic helix-loop-helix factors (bHLH)	MyoD / ASC-related factors	vertebrates	13.102	0.600	901	70	854	117	3124	0.039	2607	0.032	36.893	8.569
RUNX1	MA0002.2	Runt domain factors	Runt-related factors	vertebrates	10.401	0.502	837	134	779	192	1984	0.021	1800	0.019	14.360	8.245
NFIA	MA0670.1	SMAD/NF-1 DNA-binding domain factors	Nuclear factor 1	vertebrates	12.177	0.500	394	577	321	650	528	0.005	395	0.004	21.116	7.957
KLF14	MA0740.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	16.072	0.661	446	525	373	598	709	0.009	624	0.008	12.674	7.670
E2F4	MA0470.1	Fork head / winged helix factors	E2F-related factors	vertebrates	13.176	0.729	756	215	692	279	3575	0.037	3308	0.035	15.455	7.584
SP4	MA0685.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	19.967	0.677	293	678	229	742	412	0.007	368	0.006	9.390	7.378
ETV5	MA0765.1	Tryptophan cluster factors	Ets-related factors	vertebrates	9.461	0.569	791	180	732	239	1887	0.018	1688	0.016	15.291	7.294
ELK4	MA0076.2	Tryptophan cluster factors	Ets-related factors	vertebrates	13.085	0.630	743	228	680	291	1456	0.015	1330	0.014	11.401	7.220
EGR2	MA0472.2	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	15.289	0.730	424	547	355	616	692	0.007	583	0.006	14.919	7.110
TFAP2C(var.3)	MA0815.1	Basic helix-span-helix factors (bHSH)	AP-2	vertebrates	14.479	0.780	515	456	446	525	1021	0.013	776	0.010	31.736	6.898
NHLH1	MA0048.2	Basic helix-loop-helix factors (bHLH)	Tal-related factors	vertebrates	13.190	0.691	633	338	566	405	1175	0.011	1006	0.010	16.810	6.883
NRF1	MA0506.1	Basic leucine zipper factors (bZIP)	Jun-related factors	vertebrates	14.300	0.810	675	296	612	359	2853	0.030	2564	0.027	18.996	6.533
Znf423	MA0116.1	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers	vertebrates	17.925	0.679	384	587	325	646	549	0.008	438	0.006	20.503	5.769
RXRG	MA0856.1	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	vertebrates	22.332	0.505	94	877	61	910	110	0.001	62	0.001	22.758	5.626
SP8	MA0747.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	12.140	0.714	740	231	689	282	2130	0.024	1851	0.021	22.531	5.295
RARA::RXRA	MA0159.1	Nuclear receptors with C4 zinc fingers::Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)::RXR-related receptors (NR2)	vertebrates	16.004	0.535	56	915	32	939	59	0.001	32	0.001	19.628	5.141
RELA	MA0107.1	Rel homology region (RHR) factors	NF-kappaB-related factors	vertebrates	14.757	0.567	370	601	316	655	486	0.005	396	0.004	14.247	5.130
Klf1	MA0493.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	13.595	0.665	791	180	745	226	2193	0.023	1882	0.020	23.845	5.118
ZIC1	MA0696.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	18.774	0.762	257	714	209	762	335	0.004	278	0.004	12.734	5.078
TCF3	MA0522.2	Basic helix-loop-helix factors (bHLH)	E2A-related factors	vertebrates	11.473	0.608	943	28	921	50	3919	0.037	3564	0.034	18.917	4.911
FIGLA	MA0820.1	Basic helix-loop-helix factors (bHLH)	Tal-related factors	vertebrates	10.386	0.566	887	84	854	117	2694	0.026	2375	0.023	20.759	4.770
Tcf12	MA0521.1	Basic helix-loop-helix factors (bHLH)	E2A-related factors	vertebrates	13.159	0.597	876	95	842	129	2649	0.028	2268	0.024	26.669	4.661
Atf1	MA0604.1	Basic leucine zipper factors (bZIP)	CREB-related factors	vertebrates	10.519	0.476	496	475	444	527	722	0.006	650	0.005	7.920	4.578
MAFF	MA0495.1	Basic leucine zipper factors (bZIP)	Maf-related factors	vertebrates	13.864	0.411	209	762	168	803	247	0.004	195	0.003	15.746	4.525
Klf4	MA0039.2	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	12.618	0.771	898	73	868	103	5482	0.052	4583	0.044	42.687	4.525
KLF5	MA0599.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	12.860	0.792	951	20	933	38	10145	0.097	8618	0.082	53.942	4.481
ZBTB7B	MA0694.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	13.963	0.628	343	628	295	676	459	0.005	390	0.004	12.044	4.460
TFAP2B(var.3)	MA0813.1	Basic helix-span-helix factors (bHSH)	AP-2	vertebrates	14.355	0.726	505	466	455	516	934	0.012	723	0.009	28.298	4.338
TFAP2A(var.2)	MA0810.1	Basic helix-span-helix factors (bHSH)	AP-2	vertebrates	10.759	0.764	877	94	846	125	5772	0.066	4997	0.057	38.825	4.161
