TF	JASPAR ID	Class	Family	Tax Group	IC	GC Content	Target region hits	Target region non-hits	Background region hits	Background region non-hits	Target TFBS hits	Target TFBS nucleotide rate	Background TFBS hits	Background TFBS nucleotide rate	Z-score	Fisher score
Rfx1	MA0509.1	Fork head / winged helix factors	RFX-related factors	vertebrates	15.161	0.557	623	1652	327	1948	756	0.004	360	0.002	77.963	61.972
RFX3	MA0798.1	Fork head / winged helix factors	RFX-related factors	vertebrates	16.894	0.507	380	1895	157	2118	434	0.003	165	0.001	83.630	56.688
RFX2	MA0600.2	Fork head / winged helix factors	RFX-related factors	vertebrates	20.246	0.536	253	2022	81	2194	278	0.002	83	0.001	85.480	52.592
RFX5	MA0510.2	Fork head / winged helix factors	RFX-related factors	vertebrates	20.460	0.515	212	2063	60	2215	227	0.001	61	0.000	84.882	50.226
RFX4	MA0799.1	Fork head / winged helix factors	RFX-related factors	vertebrates	15.596	0.481	464	1811	258	2017	544	0.004	277	0.002	64.039	38.050
ATF7	MA0834.1	Basic leucine zipper factors (bZIP)	Jun-related factors	vertebrates	17.313	0.456	336	1939	166	2109	371	0.002	200	0.001	45.120	35.552
Creb5	MA0840.1	Basic leucine zipper factors (bZIP)	CREB-related factors	vertebrates	16.321	0.443	440	1835	252	2023	501	0.002	305	0.002	38.751	33.096
JDP2(var.2)	MA0656.1	Basic leucine zipper factors (bZIP)	Fos-related factors	vertebrates	17.511	0.485	385	1890	215	2060	432	0.002	258	0.001	37.403	30.681
KLF16	MA0741.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	13.161	0.767	1959	316	1798	477	7806	0.035	7033	0.032	30.519	22.436
ZNF263	MA0528.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	16.073	0.597	1682	593	1489	786	3919	0.034	3092	0.027	68.544	21.993
ETV5	MA0765.1	Tryptophan cluster factors	Ets-related factors	vertebrates	9.461	0.569	1995	280	1845	430	5260	0.022	4690	0.019	26.148	21.393
BARX1	MA0875.1	Homeo domain factors	NK-related factors	vertebrates	8.892	0.306	2070	205	1946	329	8566	0.028	9477	0.031	-27.386	18.860
BSX	MA0876.1	Homeo domain factors	NK-related factors	vertebrates	8.513	0.311	2066	209	1943	332	8761	0.029	8954	0.030	-6.354	18.401
TFAP2B	MA0811.1	Basic helix-span-helix factors (bHSH)	AP-2	vertebrates	10.870	0.738	2036	239	1908	367	8535	0.042	8270	0.041	9.703	18.113
OTX2	MA0712.1	Homeo domain factors	Paired-related HD factors	vertebrates	9.434	0.355	2022	253	1892	383	7201	0.024	7894	0.026	-22.806	17.957
ETV2	MA0762.1	Tryptophan cluster factors	Ets-related factors	vertebrates	14.664	0.452	715	1560	548	1727	919	0.004	694	0.003	28.178	17.788
OTX1	MA0711.1	Homeo domain factors	Paired-related HD factors	vertebrates	9.437	0.416	2018	257	1900	375	6263	0.021	6455	0.021	-7.252	15.207
HMBOX1	MA0895.1	Homeo domain factors	POU domain factors	vertebrates	9.583	0.347	1390	885	1223	1052	2487	0.010	2266	0.009	14.454	14.959
TFAP2C	MA0524.2	Basic helix-span-helix factors (bHSH)	AP-2	vertebrates	10.460	0.738	2006	269	1890	385	7879	0.039	7631	0.038	9.446	14.399
ELK4	MA0076.2	Tryptophan cluster factors	Ets-related factors	vertebrates	13.085	0.630	1821	454	1682	593	3937	0.018	3502	0.016	24.186	14.379
MSC	MA0665.1	Basic helix-loop-helix factors (bHLH)	Tal-related factors	vertebrates	14.856	0.452	526	1749	394	1881	622	0.003	444	0.002	26.583	14.256
E2F4	MA0470.1	Fork head / winged helix factors	E2F-related factors	vertebrates	13.176	0.729	1969	306	1850	425	9929	0.045	9354	0.042	19.526	13.909
ETV6	MA0645.1	Tryptophan cluster factors	Ets-related factors	vertebrates	12.354	0.564	1852	423	1719	556	4138	0.017	3753	0.015	19.648	13.886
NFYB	MA0502.1	Heteromeric CCAAT-binding factors	Heteromeric CCAAT-binding factors	vertebrates	14.488	0.501	687	1588	550	1725	1043	0.006	785	0.005	35.513	12.757
NFYA	MA0060.2	Heteromeric CCAAT-binding factors	Heteromeric CCAAT-binding factors	vertebrates	16.655	0.516	288	1987	194	2081	405	0.003	260	0.002	38.020	12.555
SP4	MA0685.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	19.967	0.677	787	1488	646	1629	1278	0.009	1058	0.007	27.713	12.456
ETV1	MA0761.1	Tryptophan cluster factors	Ets-related factors	vertebrates	10.759	0.530	1596	679	1455	820	3046	0.013	2683	0.011	21.958	12.210
MZF1(var.2)	MA0057.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	9.400	0.588	2157	118	2085	190	8444	0.035	7327	0.030	41.357	11.253
ZNF740	MA0753.1	C2H2 zinc finger factors	Other factors with up to three adjacent zinc fingers	vertebrates	12.467	0.786	1667	608	1537	738	4104	0.017	4007	0.017	4.507	11.191
ETV4	MA0764.1	Tryptophan cluster factors	Ets-related factors	vertebrates	10.625	0.519	1661	614	1531	744	3243	0.013	2889	0.012	20.615	11.143
EGR3	MA0732.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	18.153	0.721	652	1623	529	1746	859	0.005	701	0.004	22.947	10.910
MYBL1	MA0776.1	Tryptophan cluster factors	Myb/SANT domain factors	vertebrates	15.281	0.526	163	2112	98	2177	173	0.001	105	0.001	22.893	10.782
NR2C2	MA0504.1	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	vertebrates	16.248	0.589	918	1357	785	1490	1275	0.008	1109	0.007	19.112	10.552
Myb	MA0100.2	Tryptophan cluster factors	Myb/SANT domain factors	vertebrates	13.365	0.452	1763	512	1644	631	3821	0.016	3320	0.014	27.320	10.513
ERG	MA0474.2	Tryptophan cluster factors	Ets-related factors	vertebrates	11.781	0.514	1775	500	1657	618	3686	0.015	3320	0.014	19.866	10.495
Crem	MA0609.1	Basic leucine zipper factors (bZIP)	CREB-related factors	vertebrates	12.449	0.416	472	1803	366	1909	568	0.002	422	0.002	22.346	10.444
Gabpa	MA0062.2	Tryptophan cluster factors	Ets-related factors	vertebrates	13.335	0.647	1437	838	1306	969	2577	0.012	2250	0.010	22.666	10.108
TFAP2A(var.2)	MA0810.1	Basic helix-span-helix factors (bHSH)	AP-2	vertebrates	10.759	0.764	2127	148	2054	221	14285	0.071	13966	0.069	8.899	10.029
DLX6	MA0882.1	Homeo domain factors	NK-related factors	vertebrates	8.327	0.229	1966	309	1869	406	7830	0.026	8309	0.027	-15.542	10.005
Gmeb1	MA0615.1	SAND domain factors	GMEB	vertebrates	8.363	0.521	673	1602	555	1720	835	0.006	685	0.005	23.461	9.982
ELK1	MA0028.2	Tryptophan cluster factors	Ets-related factors	vertebrates	14.316	0.561	1021	1254	891	1384	1556	0.006	1283	0.005	23.930	9.842
EN2	MA0642.1	Homeo domain factors	NK-related factors	vertebrates	8.619	0.377	1965	310	1869	406	5621	0.023	5276	0.022	14.741	9.828
FEV	MA0156.2	Tryptophan cluster factors	Ets-related factors	vertebrates	11.713	0.519	1682	593	1563	712	3352	0.014	2983	0.012	21.154	9.818
DBP	MA0639.1	Basic leucine zipper factors (bZIP)	C/EBP-related	vertebrates	13.741	0.344	746	1529	626	1649	1049	0.005	939	0.005	12.252	9.720
MSX2	MA0708.1	Homeo domain factors	NK-related factors	vertebrates	9.959	0.264	1577	698	1455	820	3491	0.012	3303	0.011	8.990	9.558
ELF5	MA0136.2	Tryptophan cluster factors	Ets-related factors	vertebrates	10.425	0.538	2048	227	1965	310	5605	0.025	5040	0.023	26.237	9.429
ELK3	MA0759.1	Tryptophan cluster factors	Ets-related factors	vertebrates	11.791	0.539	1203	1072	1075	1200	1912	0.008	1625	0.007	22.329	9.399
FLI1	MA0475.2	Tryptophan cluster factors	Ets-related factors	vertebrates	13.279	0.533	1653	622	1538	737	3180	0.013	2866	0.012	18.324	9.112
